your name. (movie)	Amuse
Kobato. (TV)	D.N. Dream Partners
Vampire Hunter D: Bloodlust (movie)	Animate
Berserk: The Golden Age Arc I - The Egg of the King (movie)	BERSERK FILM PARTNERS
Doukyusei -Classmates- (movie)	unknown
House of Five Leaves (TV)	Dentsu Inc.
School Rumble: Extra Class (OAV)	Akihiro Yuasa
Laid-Back Camp (TV)	Hikaru Sakamoto
Nekomonogatari (Black) (TV)	Aniplex
My Love Story!! (TV)	Nippon Television Network
Glass Mask (TV 2/2005)	TMS Entertainment
Heartcatch Precure! Hana no Miyako de Fashion Show…Desu ka!? (movie)	Asatsu-DK
Food Wars! The Third Plate (TV)	unknown
Ergo Proxy (TV)	Geneon Entertainment Inc.
Tenchi Muyo! Ryo-Ohki (OAV 2/1994)	Pioneer LDC
Ghost in the Shell: Arise (OAV)	Hideji Kaneko
Love, Chunibyo & Other Delusions! (TV)	Chu-2byo Production Partners
Strawberry Marshmallow (OAV)	MediaWorks
Initial D: Third Stage (movie)	Tatsumi Yoda
Master Keaton (TV)	Shogakukan-Shueisha Productions
Banner of the Stars III (OAV)	Bandai Visual
Final Fantasy VII: Advent Children (movie)	Square Enix
Macross Plus (OAV)	Bandai Visual
Fullmetal Alchemist: The Movie - Conqueror of Shamballa	Anime Film
Night is Short, Walk On Girl (movie)	unknown
Hayate the Combat Butler!! (TV)	Shogakukan-Shueisha Productions
Daily Lives of High School Boys (TV)	Happinet Pictures
Attack on Titan: No Regrets (OAV)	unknown
(The) Disastrous Life of Saiki K. (TV)	unknown
Initial D: Final Stage (TV)	unknown
Hidamari Sketch: Sae/Hiro Sotsugyō-hen (OAV)	Aniplex
Tekkonkinkreet (movie)	Aniplex
Hyōka (TV)	chara-ani.com
Tari Tari (TV)	Bandai Visual
Little Witch Academia (movie)	unknown
Moshidora (TV)	NHK
(The) Ancient Magus' Bride: Those Awaiting a Star (OAV)	Production I.G
Shakugan no Shana (TV)	Shakugan no Shana Production Committee
Attack on Titan (TV 3/2018)	unknown
Food Wars! The Third Plate (TV 2)	unknown
A Letter to Momo (movie)	Bandai Visual
Rage of Bahamut: Genesis (TV)	Cygames
(The) Cat Returns (movie)	Studio Ghibli
xxxHOLiC: Shunmuki (OAV)	unknown
xxxHOLiC: Rō Adayume (OAV)	unknown
Kino's Travels: Life Goes On (movie)	Susumu Kudo
Detective Conan: The Private Eyes' Requiem (movie 10)	Hideyuki Takai
GATE (TV 2)	GENCO
